Job Class,Percentage,Link
Management,6.1,https://www.indeed.com/career-advice/finding-a-job/how-to-get-hired-manager-no-experience
Business and Financial operations,5,https://www.investopedia.com/articles/personal-finance/021015/how-land-wall-street-job-out-college.asp
Computer and Mathematical,2.7,https://www.coursera.org/articles/entry-level-it-jobs
Architecture and Engineering,1.7,https://youngarchitect.com/becoming-an-architect/
"Life, Physical and Social Science",0.9,https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences
Community and Social Service,1.6,https://thebestschools.org/careers/career-guide/social-services-careers/
Legal,0.8,https://www.purdueglobal.edu/blog/legal-studies/non-lawyer-jobs-legal-field/
"Education, training and library",6.1,https://howtobecomealibrarian.com/states/how-to-become-a-librarian-in-new-york/
"Arts, design, entertainment, sports and media",1.7,https://www.nyfa.org/blog/arts-job-hunting-advice-from-new-nyfa-coach-mary-kate-grohoski/#:~:text=Networking%20is%20the%20best%20way,of%20opportunities%20in%20the%20arts.
Healthcare practioners and technical,5.5,https://www.indeed.com/career-advice/finding-a-job/hospital-jobs-no-experience
Healthcare support,2.8,https://topworkplaces.com/how-to-get-job-in-healthcare/
Protective service,2.3,https://www.ziprecruiter.com/career/Protective-Services-Officer/What-Is-How-to-Become#:~:text=A%20career%20as%20a%20federal,pass%20a%20federal%20background%20check.
Food preparation and serving,8.3,https://www.raise.me/careers/food-preparation-and-serving/food-preparation-workers/#:~:text=There%20are%20no%20formal%20education,teaches%20them%20basic%20kitchen%20duties.
Building and grounds cleaning and maintenance,3.7,https://www.ziprecruiter.com/Jobs/Office-Cleaner/-in-New-York,NY
Personal care and service,4,https://www.travelperk.com/guides/administrative-tasks/how-to-become-personal-assistant/
Sales,10.2,https://www.indeed.com/career-advice/finding-a-job/how-to-get-sales-job
Office and administrative support,15.1,https://www.ziprecruiter.com/career/Office-Support/What-Is-How-to-Become#:~:text=The%20qualifications%20for%20most%20office,for%20example%2C%20in%20Microsoft%20Office.
"Farming, fishing and forestry",0.6,https://www.indeed.com/career-advice/finding-a-job/how-to-become-farm-worker
Construction and extraction,4.3,https://www.peopleready.com/insights-entry-level-construction-jobs-that-require-no-experience/
"Installation, maintenance and repair",3.8,https://www.ny.gov/nysdot-employment-opportunities/service-repair-mechanic
Production,6.1,https://www.backstage.com/magazine/article/crew-101-first-production-job-70414/
Transportation and material moving,6.5,https://www.raise.me/careers/transportation-and-material-moving/
Total,99.8,---
